Thumb,Index,Middle,Ring,Small,Command
542,793,841,744,516,C0
542,793,841,743,516,C0
542,793,841,744,517,C0
543,793,841,744,517,C0
543,793,842,744,517,C0
543,793,841,744,517,C0
543,793,841,743,516,C0
543,793,841,743,516,C0
542,793,841,743,516,C0
543,793,841,743,516,C0
542,793,841,744,516,C0
542,793,842,744,516,C0
542,793,841,744,517,C0
542,793,841,743,516,C0
542,794,841,744,516,C0
542,794,841,744,516,C0
543,794,841,744,517,C0
543,794,842,744,517,C0
543,793,842,743,517,C0
543,793,841,743,516,C0
543,794,842,743,516,C0
542,794,842,743,516,C0
543,793,841,743,516,C0
543,794,842,743,517,C0
542,793,842,743,516,C0
542,794,841,743,516,C0
542,794,841,743,516,C0
542,794,841,743,516,C0
542,794,842,743,517,C0
541,794,842,743,516,C0
541,794,841,743,516,C0
542,795,841,743,516,C0
542,794,841,743,516,C0
542,795,842,743,517,C0
542,795,842,743,516,C0
541,795,841,743,516,C0
541,794,841,743,516,C0
541,795,841,743,516,C0
541,795,841,743,516,C0
541,795,842,743,516,C0
541,794,841,742,516,C0
541,795,841,743,516,C0
542,794,841,743,516,C0
542,795,841,743,516,C0
542,795,841,743,516,C0
543,795,841,743,516,C0
543,795,842,743,516,C0
541,795,841,743,516,C0
540,795,842,743,516,C0
540,796,842,743,516,C0
540,796,842,742,515,C0
539,798,842,742,515,C0
541,801,841,742,517,C0
527,813,840,740,515,C0
507,812,839,739,509,C0
506,811,837,739,502,C0
510,811,836,739,502,C0
512,811,834,739,501,C0
513,810,834,739,501,C0
514,811,834,738,502,C0
513,811,833,738,505,C0
513,816,833,739,510,C0
520,819,833,742,512,C0
525,820,833,742,513,C0
529,821,833,746,514,C0
531,819,833,747,517,C0
533,815,833,748,518,C0
533,812,834,750,517,C0
534,809,834,749,518,C0
534,806,836,750,518,C0
535,805,837,750,519,C0
536,802,837,750,519,C0
538,803,837,750,518,C0
539,814,836,748,519,C0
537,811,835,746,518,C0
530,811,834,742,516,C0
520,813,833,741,513,C0
512,813,832,741,512,C0
510,814,831,741,512,C0
511,814,832,741,513,C0
517,813,833,741,514,C0
523,813,834,742,516,C0
528,811,835,742,517,C0
532,810,835,743,518,C0
535,806,837,746,518,C0
536,804,839,747,518,C0
537,801,840,748,517,C0
538,797,840,748,517,C0
538,795,840,748,517,C0
538,793,841,748,517,C0
538,788,841,748,516,C0
538,786,841,748,516,C0
538,786,841,748,516,C0
539,787,841,748,516,C0
542,795,841,748,517,C0
543,806,841,746,518,C0
541,812,841,744,517,C0
535,812,839,742,510,C0
527,814,839,741,503,C0
518,813,838,741,502,C0
515,812,836,740,503,C0
514,813,834,740,504,C0
514,813,832,740,505,C0
516,812,831,740,504,C0
518,814,833,740,505,C0
517,812,836,741,507,C0
519,812,836,740,511,C0
519,813,836,740,512,C0
521,814,836,740,513,C0
522,815,835,740,514,C0
525,814,833,740,514,C0
530,813,831,740,514,C0
530,814,832,740,514,C0
528,813,832,740,515,C0
523,813,832,740,515,C0
517,813,836,740,515,C0
516,814,838,741,516,C0
518,817,839,741,516,C0
523,816,839,745,517,C0
526,814,839,747,516,C0
530,811,840,748,516,C0
532,804,841,749,515,C0
535,798,841,750,516,C0
535,789,841,750,515,C0
536,784,841,750,515,C0
538,780,842,750,515,C0
538,780,842,750,515,C0
540,784,841,750,516,C0
542,788,841,750,516,C0
542,789,841,750,517,C0
543,788,842,750,517,C0
543,789,842,750,516,C0
543,788,841,750,516,C0
543,788,840,750,516,C0
542,790,841,750,516,C0
544,790,842,749,517,C0
544,790,841,750,517,C0
544,792,842,750,516,C0
545,791,842,750,517,C0
545,791,841,750,517,C0
544,791,841,749,516,C0
545,788,842,749,517,C0
545,791,841,750,516,C0
545,791,842,750,516,C0
545,791,841,750,516,C0
544,791,841,750,516,C0
544,791,841,750,516,C0
545,791,842,750,517,C0
546,791,840,750,517,C0
545,791,842,750,516,C0
545,791,841,750,516,C0
545,790,842,750,516,C0
545,791,841,750,516,C0
546,792,842,749,516,C0
546,791,841,749,516,C0
546,792,841,749,516,C0
547,792,842,749,514,C0
545,792,842,749,517,C0
546,792,841,749,516,C0
545,792,842,749,516,C0
546,792,841,749,516,C0
545,793,842,750,516,C0
545,793,842,750,516,C0
472,718,771,638,435,C1
473,720,773,640,436,C1
471,698,739,594,429,C1
461,682,733,592,427,C1
454,681,734,594,428,C1
448,677,735,594,422,C1
449,676,735,594,418,C1
451,676,734,592,416,C1
449,680,729,583,406,C1
464,703,744,595,417,C1
470,716,759,615,423,C1
471,720,767,625,428,C1
455,684,729,591,427,C1
443,680,738,596,425,C1
447,683,739,597,425,C1
453,695,742,601,428,C1
461,722,777,646,435,C1
474,731,785,655,439,C1
481,691,739,595,433,C1
505,696,745,599,433,C1
493,692,744,598,428,C1
491,700,744,602,424,C1
490,717,769,640,435,C1
490,713,757,621,438,C1
487,681,732,596,429,C1
496,685,737,597,429,C1
499,695,741,601,429,C1
513,713,762,629,432,C1
525,696,740,611,432,C1
519,684,727,613,432,C1
517,676,731,598,420,C1
509,679,731,599,416,C1
515,685,740,608,424,C1
518,703,766,630,426,C1
522,708,772,638,429,C1
523,695,739,611,429,C1
521,687,739,596,416,C1
502,685,739,592,403,C1
487,682,729,593,411,C1
502,676,732,606,422,C1
516,670,735,603,417,C1
518,678,737,599,412,C1
501,680,732,602,420,C1
512,680,733,609,425,C1
533,688,746,612,418,C1
534,697,758,630,423,C1
504,683,729,610,424,C1
505,682,723,615,429,C1
489,675,730,607,426,C1
432,676,737,596,422,C1
448,677,737,592,418,C1
471,677,734,597,418,C1
463,679,724,601,423,C1
469,679,731,602,424,C1
490,675,729,605,424,C1
500,671,729,592,414,C1
487,676,732,575,405,C1
490,677,731,581,412,C1
493,677,730,599,423,C1
483,689,743,606,424,C1
489,719,774,655,435,C1
493,725,782,659,444,C1
490,681,734,599,429,C1
489,677,740,606,428,C1
498,685,742,605,428,C1
523,697,743,603,424,C1
560,692,741,605,427,C1
545,691,741,602,420,C1
477,692,742,600,414,C1
445,696,742,597,415,C1
517,699,744,594,421,C1
535,684,744,598,422,C1
504,689,748,588,403,C1
485,692,746,585,391,C1
489,694,746,587,389,C1
503,690,736,587,401,C1
512,684,726,592,408,C1
514,679,726,599,412,C1
490,680,730,591,409,C1
471,681,733,582,408,C1
485,680,731,589,412,C1
494,678,729,590,410,C1
478,678,730,589,412,C1
455,681,732,583,409,C1
470,681,733,592,414,C1
493,685,734,609,421,C1
495,684,734,603,419,C1
485,688,736,593,416,C1
480,697,742,601,420,C1
481,720,769,639,426,C1
483,729,778,656,433,C1
484,687,731,589,427,C1
470,682,742,600,425,C1
447,686,746,602,425,C1
438,691,746,602,425,C1
444,684,744,598,422,C1
458,688,733,595,418,C1
474,703,745,617,423,C1
484,707,750,627,431,C1
484,685,729,592,423,C1
489,683,735,596,425,C1
492,688,739,600,427,C1
493,699,740,599,426,C1
485,711,748,614,425,C1
484,709,737,610,423,C1
484,703,727,604,423,C1
485,697,726,601,423,C1
487,698,730,599,425,C1
489,687,726,600,420,C1
493,684,720,604,420,C1
494,687,721,604,422,C1
496,687,732,596,428,C1
498,687,737,598,429,C1
497,688,743,588,415,C1
497,690,748,590,406,C1
493,690,738,600,414,C1
493,685,729,613,421,C1
513,696,732,623,426,C1
528,695,730,621,427,C1
540,693,737,605,425,C1
524,689,747,591,408,C1
491,691,746,592,405,C1
482,698,744,594,410,C1
502,702,746,604,417,C1
527,703,748,605,417,C1
547,705,749,606,417,C1
529,698,748,603,416,C1
495,701,748,603,415,C1
475,701,742,605,418,C1
477,697,736,605,418,C1
515,692,739,601,420,C1
531,684,740,604,420,C1
540,677,738,607,424,C1
539,681,736,611,426,C1
520,693,751,609,416,C1
507,700,764,634,420,C1
510,711,770,634,417,C1
516,712,769,621,422,C1
528,712,767,619,425,C1
535,687,745,594,420,C1
523,683,747,587,412,C1
509,684,742,589,414,C1
513,693,744,608,424,C1
518,703,762,636,428,C1
522,704,768,651,431,C1
524,697,747,621,428,C1
516,688,750,592,406,C1
506,693,744,597,410,C1
508,686,729,619,419,C1
514,686,736,610,417,C1
511,686,745,597,410,C1
478,692,739,600,413,C1
475,695,737,607,417,C1
510,693,738,609,418,C1
514,697,753,607,418,C1
510,707,755,616,423,C1
499,705,746,621,426,C1
484,699,736,607,418,C1
499,691,744,596,411,C1
517,697,743,610,418,C1
506,691,732,610,421,C1
451,688,738,599,412,C1
471,690,742,596,410,C1
501,697,747,603,417,C1
505,702,752,620,421,C1
506,700,742,628,420,C1
506,707,748,628,426,C1
514,716,761,636,431,C1
524,699,750,612,427,C1
545,694,752,620,423,C1
534,703,757,627,427,C1
506,705,749,628,427,C1
482,698,728,619,424,C1
511,688,731,607,421,C1
523,690,745,607,417,C1
508,688,742,620,421,C1
491,688,733,622,422,C1
511,693,743,612,418,C1
519,690,749,610,418,C1
515,694,750,613,415,C1
512,695,746,600,419,C1
482,691,743,601,416,C1
471,694,740,605,417,C1
474,696,740,605,417,C1
483,699,741,604,419,C1
493,698,742,605,416,C1
493,694,733,612,415,C1
490,693,731,616,421,C1
515,700,746,611,421,C1
527,701,750,614,419,C1
533,693,751,618,424,C1
529,699,752,630,432,C1
515,701,751,640,433,C1
499,699,740,627,423,C1
496,696,736,606,423,C1
495,691,743,600,419,C1
490,685,726,603,421,C1
484,685,723,602,419,C1
481,690,735,603,421,C1
489,698,748,607,415,C1
503,697,751,601,414,C1
514,694,753,607,420,C1
517,695,761,632,424,C1
517,708,771,637,425,C1
518,707,766,621,419,C1
519,700,756,610,417,C1
509,704,762,630,417,C1
492,701,763,639,421,C1
495,701,759,632,418,C1
502,701,753,611,419,C1
510,695,750,607,419,C1
504,693,736,609,421,C1
499,694,737,617,422,C1
500,697,742,615,421,C1
501,698,743,615,421,C1
501,698,743,616,422,C1
501,699,742,616,421,C1
501,698,743,616,421,C1
501,699,743,615,421,C1
501,699,743,616,421,C1
500,699,743,615,421,C1
500,700,743,616,421,C1
500,700,743,615,421,C1
499,701,744,616,421,C1
499,701,744,616,421,C1
499,701,744,616,421,C1
499,701,744,616,422,C1
499,702,744,616,421,C1
499,701,744,616,421,C1
499,702,745,616,422,C1
499,702,744,616,422,C1
499,702,745,616,422,C1
499,702,744,616,422,C1
499,703,745,616,422,C1
499,702,745,616,422,C1
499,702,745,616,422,C1
500,702,747,616,422,C1
515,708,764,639,425,C1
522,720,777,655,432,C1
528,738,787,667,436,C1
527,736,781,652,437,C1
498,689,735,597,420,C1
473,684,740,596,416,C1
462,689,743,598,414,C1
506,693,744,598,417,C1
509,689,744,598,419,C1
484,683,742,597,421,C1
453,680,740,595,421,C1
435,677,738,592,413,C1
440,678,733,588,401,C1
454,680,731,587,404,C1
459,680,729,587,403,C1
424,680,733,589,413,C1
414,684,737,589,419,C1
431,687,738,590,421,C1
440,688,739,591,422,C1
436,686,739,592,423,C1
439,686,738,592,420,C1
448,711,752,620,421,C1
454,721,771,647,429,C1
454,695,737,591,420,C1
453,679,737,590,423,C1
450,678,742,595,424,C1
449,679,743,596,425,C1
449,679,742,596,425,C1
450,689,742,593,425,C1
457,702,753,605,424,C1
464,712,764,628,424,C1
468,719,772,642,427,C1
469,719,771,633,427,C1
464,681,736,588,423,C1
463,681,745,588,425,C1
463,684,745,590,425,C1
466,686,744,591,425,C1
471,693,743,594,418,C1
485,708,750,610,419,C1
494,710,755,628,425,C1
504,715,765,645,436,C1
521,722,770,648,439,C1
518,721,751,621,436,C1
468,690,736,591,425,C1
425,686,738,590,425,C1
413,689,740,590,423,C1
415,693,740,590,422,C1
469,703,746,593,420,C1
524,712,751,606,421,C1
535,720,761,625,427,C1
531,726,769,633,429,C1
507,703,739,594,420,C1
475,685,736,594,425,C1
461,686,742,596,426,C1
464,692,742,595,427,C1
471,704,748,597,427,C1
477,715,763,626,425,C1
481,737,780,657,430,C1
483,747,785,662,435,C1
482,729,775,625,429,C1
481,689,733,594,426,C1
481,683,736,593,426,C1
482,682,740,593,427,C1
503,685,741,593,426,C1
504,687,740,594,422,C1
501,706,749,611,425,C1
499,716,762,640,432,C1
502,711,745,614,433,C1
494,681,726,600,427,C1
486,678,730,597,426,C1
494,683,735,592,426,C1
519,685,738,592,427,C1
530,685,739,594,428,C1
522,696,738,596,425,C1
508,712,752,623,428,C1
509,720,767,648,435,C1
511,721,767,646,437,C1
494,686,733,596,425,C1
485,680,736,594,424,C1
483,684,740,594,425,C1
484,686,741,595,428,C1
480,687,740,594,425,C1
490,702,745,602,418,C1
502,716,760,630,429,C1
507,720,766,644,435,C1
510,718,764,646,436,C1
502,709,738,619,430,C1
498,693,736,600,424,C1
493,679,739,594,421,C1
483,679,740,593,422,C1
481,681,740,593,423,C1
486,683,741,592,421,C1
464,681,740,588,411,C1
441,676,733,588,407,C1
445,677,729,588,404,C1
459,679,726,589,405,C1
473,684,729,595,407,C1
476,690,733,595,414,C1
468,683,735,592,420,C1
467,683,740,593,423,C1
466,682,743,593,423,C1
470,683,745,592,416,C1
473,703,749,619,420,C1
473,710,757,634,427,C1
474,711,750,620,428,C1
474,691,733,594,423,C1
473,683,734,592,423,C1
472,681,735,589,421,C1
472,681,736,589,420,C1
471,680,735,592,415,C1
468,681,733,591,414,C1
